"Gene_Name","Log_Fold_Change","P_Value"
"Ankrd44",0.276627080889466,0.180700283474331
"4930444A19Rik",-0.779987567934298,0.403049360167967
"Gm37370",-0.219573030700783,0.843204514075047
"Gm24053",1.79137995286939,0.683673917253661
"A130048G24Rik",-0.75776926926799,0.608760061197006
"Sf3b1",-0.0345219443734019,0.779995011603599
"Hspd1",-0.147894850599894,0.374581679875404
"Hspe1",-0.169591920826677,0.390176077751137
"Gm16581",5.20322014914527,0.0377600167112238
"Mob4",-0.199661306530057,0.223071275565495
"Rftn2",0.0859347957439407,0.772540467536606
"Gm10561",-4.85372295296744,0.0648874362299343
"Mars2",-0.00800332816206314,0.970532438261648
"Boll",4.49254934150018,0.215565020097375
"Gm8292",-1.3414967057333,0.384103278976974
"Gm37382",0.598945628051019,0.595235867924582
"Plcl1",-0.180054358390487,0.333528740970928
"Gm38056",0.537142448917312,0.101150148587048
"9130227L01Rik",1.22895464019537,0.582426434832014
"Gm28900",1.85924167694837,0.477973088896746
"BC055402",0.287699103908761,0.32124493211661
"Satb2",0.0477238079885795,0.94898424602945
"9130024F11Rik",-1.00614177559021,0.321381956473178
"Gm23943",0,1
"Gm4081",2.44202562481039,0.57691642987815
"1700066M21Rik",-0.0683688183431653,0.781673703961923
"Tyw5",0.0283545451884541,0.914161026695333
"Maip1",-0.116564980391821,0.58809674387628
"Spats2l",0.0359354870809815,0.914800381389372
"Gm17234",-1.24617903792599,0.767281156243931
"Kctd18",0.0451508586061933,0.785615151562324
"Sgo2a",0.110028207318424,0.922892885258342
"Aox1",1.23677702810683,0.0230783731886441
"Aox3",-2.94656682838419,0.117057139626837
"Aox4",-4.96335192130098,0.0706657475404431
"Gm15759",1.80635708489526,0.681143877956928
"Aox2",1.10455159771456,0.59547105532722
"Bzw1",0.0625005683991132,0.702104806943698
"Clk1",0.260066715182229,0.04439177277261
"Gm37607",0.405152877866427,0.211215891437603
"Ppil3",-0.272237814197168,0.169550160279348
"Nif3l1",-0.174051207116228,0.246936804915433
"Orc2",0.171885503369393,0.254782221717136
"Gm23966",-0.636116345558774,0.623769931198237
"Gm15834",-0.17210539310435,0.722167511401226
"Fam126b",-0.413317996529757,0.19396626023813
"Ndufb3",-0.0929991702603969,0.588412482777212
"Flacc1",-0.612468724227221,0.833989492956092
"Cflar",-0.0884072611345981,0.707957155818016
"Cbx3-ps7",0.137864785109148,0.887736957796789
"Gm20257",-0.129337235848382,0.896906641867687
"Casp8",1.32433296872332,0.00700147014705682
"Gm37760",-0.497583785598487,0.556545951829267
"Gm28802",-0.927070104597745,0.502171920309148
"Trak2",-0.0161659095988334,0.897425470670238
"Stradb",-0.0261474347200573,0.891240185577869
"C2cd6",-1.09835253269499,0.0494835461899053
"AC169382.1",7.03797177195221,0.000268604427839043
"Gm29018",0.654674174906204,0.779542600203775
"Gm25502",3.32623343152224,0.444979955719354
"Tmem237",-0.0906669700909254,0.598855998094837
"Mpp4",0.00690863825426471,0.953390707396524
"Gm19125",1.08131578854191,0.0884233013869077
"Als2",0.0754056014718508,0.64308987962617
"G730003C15Rik",0.0457863471753015,0.887310108626351
"Gm29017",0.63530769854261,0.244406311290171
"Nop58",0.0459655311794354,0.792033673795848
"Snord70",0.0667091828274294,0.983303684722849
"Gm26293",0.789672747012081,0.749563931214687
"Gm26287",-0.0160964812992122,0.995481525480244
"Snord11",0,1
"Cdk15",-0.20249503335898,0.756633543299852
"Gm26813",-1.26295059050093,0.564095129049118
"Fzd7",-0.692763138300936,0.151701867392898
"Gm28411",2.76144084349664,0.527212823762701
"1700122D07Rik",2.08956103493352,0.633909307120725
"Gm973",0.651850060193321,0.0840429446615832
"Gm24545",2.15565517520792,0.623051313271109
"Sumo1",-0.113084732248313,0.558320420748261
"D430013B06Rik",0.66112964439404,0.375028574616201
"Gm38125",0.359538559869187,0.188935561183825
"Bmpr2",0.0771551205732241,0.621730550125224
"Gm18829",2.10410901911094,0.489490083383053
"Fam117b",0.0653680162794985,0.646177079685544
"Ica1l",-0.371545782608908,0.150337134722558
"Gm37531",0.808705939417326,0.000874941452468599
"Wdr12",-0.225143500066209,0.104759661026807
"Carf",0.236331325113108,0.36948947477232
"Nbeal1",0.144768334870831,0.432134443707456
"Gm29332",0,1
"Gm15464",-0.576982576718779,0.36415228526493
"Gm11578",0.425128060118143,0.678005835815008
"Eif4a-ps4",-0.250289602571151,0.394361726153721
"Gm38137",0,1
"Rpl18-ps1",-0.0952656125490194,0.85843998353765
"Icos",-4.00998112485563,0.33966838012017
"Gm37039",-3.45954114434881,0.406475794874103
"9530026F06Rik",-3.07634256236813,0.467216155061585
"Cyp20a1",0.159714501896436,0.495215092892291
"6030460B20Rik",0.10261797218125,0.903701778551703
"Abi2",-0.220598092889034,0.679467654329742
"Raph1",0.333303923091774,0.118081910692878
"Gm11576",4.32204018052954,0.319477471262307
"Gm11575",0.598375000893963,0.274220406297108
"Gm11599",0.384327164289404,0.606665013350498
"Pard3b",0.22270574725632,0.326599515395589
"Gm38278",1.806409089968,0.68113520321576
"Pard3bos1",-1.71581045869489,0.426346787454816
"Gm38075",0.106583659196284,0.948992616479672
"Pard3bos2",-2.85982796583628,0.335515378451126
"Gm38351",0.837409792417256,0.537922944646441
