GeneID	log2FoldChange	padj
N	2.44202562481039	NA
N	-0.0683688183431653	0.998003304127109
N	0.0283545451884541	0.998003304127109
N	-0.116564980391821	0.998003304127109
N	0.0359354870809815	0.998003304127109
N	-1.24617903792599	NA
N	0.0451508586061933	0.998003304127109
N	0.110028207318424	0.998003304127109
N	1.23677702810683	0.569952837080647
N	-2.94656682838419	NA
N	NA	NA
N	-4.96335192130098	NA
N	1.80635708489526	NA
N	1.10455159771456	0.998003304127109
N	0.0625005683991132	0.998003304127109
N	0.260066715182229	0.70878567322039
N	0.405152877866427	0.963310432270951
N	-0.272237814197168	0.93750950995775
N	-0.174051207116228	0.968318887056797
N	0.171885503369393	0.970141429405353
N	-0.636116345558774	0.998003304127109
N	-0.17210539310435	0.998003304127109
N	-0.413317996529757	0.9540056683794
N	-0.0929991702603969	0.998003304127109
N	-0.612468724227221	NA
N	NA	NA
N	-0.0884072611345981	0.998003304127109
N	0.137864785109148	0.998003304127109
N	-0.129337235848382	0.998003304127109
N	1.32433296872332	0.33671859045262
N	-0.497583785598487	0.998003304127109
N	-0.927070104597745	NA
N	-0.0161659095988334	0.998003304127109
N	-0.0261474347200573	0.998003304127109
N	-1.09835253269499	0.73876060026928
N	7.03797177195221	0.0517756696307162
N	0.654674174906204	NA
N	3.32623343152224	NA
N	-0.0906669700909254	0.998003304127109
N	0.00690863825426471	0.998143112128126
N	1.08131578854191	0.845186611079306
N	0.0754056014718508	0.998003304127109
N	0.0457863471753015	0.998003304127109
N	0.63530769854261	0.967228418486185
N	0.0459655311794354	0.998003304127109
N	0.0667091828274294	NA
N	0.789672747012081	NA
N	-0.0160964812992122	NA
N	0	NA
N	-0.20249503335898	0.998003304127109
N	-1.26295059050093	0.998003304127109
N	-0.692763138300936	0.926246936620251
N	2.76144084349664	NA
N	2.08956103493352	NA
N	0.651850060193321	0.841484861006435
N	2.15565517520792	NA
N	-0.113084732248313	0.998003304127109
N	0.66112964439404	0.993366495578646
N	0.359538559869187	0.950660032202254
N	0.0771551205732241	0.998003304127109
N	2.10410901911094	NA
N	0.0653680162794985	0.998003304127109
N	-0.371545782608908	0.926246936620251
N	0.808705939417326	0.112434680628519
N	-0.225143500066209	0.8810575010073
